Order_ID,Order_Date,Product_ID,Location_ID,Units_Sold,Revenue,Cost,Ad_Spend,Year,Month Name,Quarter,Start of Year,End of Year,TotalRevenue,ProductRank,TotalProfit,CityRank
ZiVA1,13-09-2025,OZ10,VA10,5,7495,4951.52,441.71,2025,September,3,01-01-2025,31-12-2025,487175,4,92967.49,6
ZiVA5,18-08-2025,OZ1,VA1,5,9995,6434.5,1060.63,2025,August,3,01-01-2025,31-12-2025,673663,1,109108.47,1
ZiVA4,13-05-2024,OZ2,VA1,4,8796,6009.84,1196.96,2024,May,2,01-01-2024,31-12-2024,532158,3,109108.47,1
ZiVA7,09-10-2024,OZ10,VA6,3,4497,2501.79,439.19,2024,October,4,01-01-2024,31-12-2024,487175,4,76598.8,10
ZiVA2,06-04-2024,OZ3,VA9,4,9996,7402.37,1211.18,2024,April,2,01-01-2024,31-12-2024,652239,2,106096.5,2
ZiVA10,09-09-2024,OZ10,VA7,5,7495,5343.36,608.23,2024,September,3,01-01-2024,31-12-2024,487175,4,101495.94,5
ZiVA8,30-05-2024,OZ3,VA7,5,12495,7414.6,773.99,2024,May,2,01-01-2024,31-12-2024,652239,2,101495.94,5
ZiVA9,23-09-2025,OZ2,VA7,5,10995,7225.55,973.88,2025,September,3,01-01-2025,31-12-2025,532158,3,101495.94,5
ZiVA11,20-09-2024,OZ10,VA3,4,5996,4468.05,609.13,2024,September,3,01-01-2024,31-12-2024,487175,4,92016.54,7
ZiVA3,16-09-2025,OZ4,VA3,1,999,726.74,125.3,2025,September,3,01-01-2025,31-12-2025,271728,7,92016.54,7
ZiVA6,16-07-2024,OZ2,VA5,5,10995,7685.72,845.46,2024,July,3,01-01-2024,31-12-2024,532158,3,103391.5,4
ZiVA12,03-11-2024,OZ4,VA7,2,1998,1154.04,221.41,2024,November,4,01-01-2024,31-12-2024,271728,7,101495.94,5
ZiVA13,01-10-2024,OZ10,VA1,1,1499,876.8,204.5,2024,October,4,01-01-2024,31-12-2024,487175,4,109108.47,1
ZiVA14,29-09-2025,OZ10,VA5,2,2998,1732.26,290.69,2025,September,3,01-01-2025,31-12-2025,487175,4,103391.5,4
ZiVA15,24-06-2025,OZ6,VA6,5,3995,2321.01,494.72,2025,June,2,01-01-2025,31-12-2025,218926,8,76598.8,10
ZiVA16,21-02-2024,OZ3,VA10,2,4998,2907.82,563.96,2024,February,1,01-01-2024,31-12-2024,652239,2,92967.49,6
ZiVA17,21-12-2025,OZ9,VA3,3,2697,1646.99,157.91,2025,December,4,01-01-2025,31-12-2025,283185,6,92016.54,7
ZiVA18,04-03-2025,OZ9,VA1,5,4495,2951.35,267.26,2025,March,1,01-01-2025,31-12-2025,283185,6,109108.47,1
ZiVA19,25-01-2025,OZ6,VA4,3,2397,1640.17,125.83,2025,January,1,01-01-2025,31-12-2025,218926,8,83645.5,8
ZiVA20,07-10-2025,OZ9,VA2,1,899,558.28,67.32,2025,October,4,01-01-2025,31-12-2025,283185,6,103620.97,3
ZiVA21,17-05-2024,OZ8,VA8,3,1497,1031.48,220.4,2024,May,2,01-01-2024,31-12-2024,171656,10,82367.24,9
ZiVA22,06-10-2024,OZ2,VA4,2,4398,2631.65,230.84,2024,October,4,01-01-2024,31-12-2024,532158,3,83645.5,8
ZiVA23,11-09-2024,OZ10,VA1,4,5996,4004.59,791.96,2024,September,3,01-01-2024,31-12-2024,487175,4,109108.47,1
ZiVA24,16-01-2026,OZ2,VA9,3,6597,4676.36,462.41,2026,January,1,01-01-2026,31-12-2026,532158,3,106096.5,2
ZiVA25,29-12-2025,OZ2,VA3,5,10995,7057.18,606.25,2025,December,4,01-01-2025,31-12-2025,532158,3,92016.54,7
ZiVA26,14-01-2025,OZ5,VA1,2,1598,1032.58,137.85,2025,January,1,01-01-2025,31-12-2025,286042,5,109108.47,1
ZiVA27,18-11-2025,OZ9,VA9,2,1798,1040.12,110.76,2025,November,4,01-01-2025,31-12-2025,283185,6,106096.5,2
ZiVA28,14-11-2025,OZ10,VA5,1,1499,932.9,79.64,2025,November,4,01-01-2025,31-12-2025,487175,4,103391.5,4
ZiVA29,05-11-2024,OZ4,VA4,2,1998,1208.51,124.23,2024,November,4,01-01-2024,31-12-2024,271728,7,83645.5,8
ZiVA30,14-01-2025,OZ10,VA8,2,2998,1804.39,230.41,2025,January,1,01-01-2025,31-12-2025,487175,4,82367.24,9
ZiVA31,21-12-2024,OZ8,VA9,2,998,653.71,96.46,2024,December,4,01-01-2024,31-12-2024,171656,10,106096.5,2
ZiVA32,12-05-2024,OZ5,VA7,3,2397,1678.14,262,2024,May,2,01-01-2024,31-12-2024,286042,5,101495.94,5
ZiVA33,29-05-2025,OZ5,VA3,3,2397,1572.14,122.1,2025,May,2,01-01-2025,31-12-2025,286042,5,92016.54,7
ZiVA34,31-08-2024,OZ10,VA4,4,5996,3720.51,740.53,2024,August,3,01-01-2024,31-12-2024,487175,4,83645.5,8
ZiVA35,14-05-2024,OZ9,VA5,5,4495,3365.44,320.46,2024,May,2,01-01-2024,31-12-2024,283185,6,103391.5,4
ZiVA36,25-10-2024,OZ7,VA7,5,2995,1743.46,336.41,2024,October,4,01-01-2024,31-12-2024,195274,9,101495.94,5
ZiVA37,08-06-2025,OZ9,VA9,4,3596,2657.89,511.76,2025,June,2,01-01-2025,31-12-2025,283185,6,106096.5,2
ZiVA38,19-04-2024,OZ1,VA5,1,1999,1168.15,227.92,2024,April,2,01-01-2024,31-12-2024,673663,1,103391.5,4
ZiVA39,16-04-2024,OZ8,VA9,2,998,584.44,64.5,2024,April,2,01-01-2024,31-12-2024,171656,10,106096.5,2
ZiVA40,22-11-2025,OZ2,VA5,4,8796,5942.07,482.69,2025,November,4,01-01-2025,31-12-2025,532158,3,103391.5,4
ZiVA41,31-01-2025,OZ7,VA10,3,1797,1156.45,220.29,2025,January,1,01-01-2025,31-12-2025,195274,9,92967.49,6
ZiVA42,19-05-2025,OZ3,VA9,3,7497,4657.13,1042.51,2025,May,2,01-01-2025,31-12-2025,652239,2,106096.5,2
ZiVA43,27-12-2025,OZ10,VA9,5,7495,4545.95,1017.72,2025,December,4,01-01-2025,31-12-2025,487175,4,106096.5,2
ZiVA44,10-05-2025,OZ5,VA4,4,3196,2327.84,350.33,2025,May,2,01-01-2025,31-12-2025,286042,5,83645.5,8
ZiVA45,14-02-2025,OZ7,VA2,1,599,419.92,71.34,2025,February,1,01-01-2025,31-12-2025,195274,9,103620.97,3
ZiVA46,16-10-2025,OZ8,VA1,5,2495,1718.75,281.35,2025,October,4,01-01-2025,31-12-2025,171656,10,109108.47,1
ZiVA47,16-08-2025,OZ2,VA4,5,10995,7571.2,1007.64,2025,August,3,01-01-2025,31-12-2025,532158,3,83645.5,8
ZiVA48,07-01-2025,OZ8,VA9,3,1497,913.35,168.08,2025,January,1,01-01-2025,31-12-2025,171656,10,106096.5,2
ZiVA49,27-06-2025,OZ5,VA10,5,3995,2568.96,342.02,2025,June,2,01-01-2025,31-12-2025,286042,5,92967.49,6
ZiVA50,24-09-2025,OZ10,VA7,5,7495,5034.57,900.1,2025,September,3,01-01-2025,31-12-2025,487175,4,101495.94,5
ZiVA51,30-10-2025,OZ8,VA7,5,2495,1392.08,309.52,2025,October,4,01-01-2025,31-12-2025,171656,10,101495.94,5
ZiVA52,17-09-2024,OZ5,VA4,5,3995,2482.13,449.63,2024,September,3,01-01-2024,31-12-2024,286042,5,83645.5,8
ZiVA53,25-01-2025,OZ10,VA4,5,7495,4592.46,468.21,2025,January,1,01-01-2025,31-12-2025,487175,4,83645.5,8
ZiVA54,19-08-2025,OZ4,VA2,5,4995,3336.01,397.42,2025,August,3,01-01-2025,31-12-2025,271728,7,103620.97,3
ZiVA55,30-06-2024,OZ9,VA3,5,4495,3201.97,328.43,2024,June,2,01-01-2024,31-12-2024,283185,6,92016.54,7
ZiVA56,24-12-2024,OZ9,VA10,1,899,646.28,62.83,2024,December,4,01-01-2024,31-12-2024,283185,6,92967.49,6
ZiVA57,12-09-2025,OZ7,VA8,1,599,374.1,72.6,2025,September,3,01-01-2025,31-12-2025,195274,9,82367.24,9
ZiVA58,01-10-2024,OZ4,VA2,4,3996,2510.29,370.64,2024,October,4,01-01-2024,31-12-2024,271728,7,103620.97,3
ZiVA59,15-08-2025,OZ8,VA3,1,499,335.21,45.4,2025,August,3,01-01-2025,31-12-2025,171656,10,92016.54,7
ZiVA60,12-08-2025,OZ10,VA2,5,7495,5070.65,388.69,2025,August,3,01-01-2025,31-12-2025,487175,4,103620.97,3
ZiVA61,29-03-2024,OZ7,VA2,4,2396,1428.68,174.54,2024,March,1,01-01-2024,31-12-2024,195274,9,103620.97,3
ZiVA62,11-12-2025,OZ6,VA10,3,2397,1755.31,321.06,2025,December,4,01-01-2025,31-12-2025,218926,8,92967.49,6
ZiVA63,06-03-2024,OZ9,VA9,5,4495,3022.24,330.74,2024,March,1,01-01-2024,31-12-2024,283185,6,106096.5,2
ZiVA64,21-02-2024,OZ7,VA5,2,1198,837.64,177.85,2024,February,1,01-01-2024,31-12-2024,195274,9,103391.5,4
ZiVA65,25-06-2024,OZ10,VA7,3,4497,2862.2,285.37,2024,June,2,01-01-2024,31-12-2024,487175,4,101495.94,5
ZiVA66,26-12-2025,OZ4,VA5,4,3996,2752.35,215.9,2025,December,4,01-01-2025,31-12-2025,271728,7,103391.5,4
ZiVA67,28-03-2024,OZ2,VA2,2,4398,2511.25,372.92,2024,March,1,01-01-2024,31-12-2024,532158,3,103620.97,3
ZiVA68,17-07-2025,OZ3,VA9,5,12495,9213.19,1665.61,2025,July,3,01-01-2025,31-12-2025,652239,2,106096.5,2
ZiVA69,26-08-2024,OZ10,VA8,4,5996,4267.26,447.64,2024,August,3,01-01-2024,31-12-2024,487175,4,82367.24,9
ZiVA70,02-04-2024,OZ8,VA7,2,998,586,121.77,2024,April,2,01-01-2024,31-12-2024,171656,10,101495.94,5
ZiVA71,28-09-2024,OZ8,VA4,5,2495,1819.2,305.89,2024,September,3,01-01-2024,31-12-2024,171656,10,83645.5,8
ZiVA72,10-11-2024,OZ8,VA2,4,1996,1354.52,289.45,2024,November,4,01-01-2024,31-12-2024,171656,10,103620.97,3
ZiVA73,17-07-2025,OZ7,VA3,5,2995,1747.52,439.49,2025,July,3,01-01-2025,31-12-2025,195274,9,92016.54,7
ZiVA74,17-07-2024,OZ4,VA9,1,999,670.97,112.53,2024,July,3,01-01-2024,31-12-2024,271728,7,106096.5,2
ZiVA75,23-05-2025,OZ5,VA3,1,799,495.87,108.6,2025,May,2,01-01-2025,31-12-2025,286042,5,92016.54,7
ZiVA76,10-02-2025,OZ7,VA10,5,2995,1966.06,327.59,2025,February,1,01-01-2025,31-12-2025,195274,9,92967.49,6
ZiVA77,18-07-2024,OZ5,VA8,5,3995,2983.3,458.57,2024,July,3,01-01-2024,31-12-2024,286042,5,82367.24,9
ZiVA78,05-07-2024,OZ3,VA2,1,2499,1632.2,166.25,2024,July,3,01-01-2024,31-12-2024,652239,2,103620.97,3
ZiVA79,08-05-2024,OZ3,VA5,2,4998,2951.85,655.72,2024,May,2,01-01-2024,31-12-2024,652239,2,103391.5,4
ZiVA80,22-11-2024,OZ5,VA6,3,2397,1587.61,182.89,2024,November,4,01-01-2024,31-12-2024,286042,5,76598.8,10
ZiVA81,31-05-2024,OZ10,VA6,4,5996,4084.59,531.51,2024,May,2,01-01-2024,31-12-2024,487175,4,76598.8,10
ZiVA82,23-09-2025,OZ4,VA4,4,3996,2414.1,589.72,2025,September,3,01-01-2025,31-12-2025,271728,7,83645.5,8
ZiVA83,11-07-2025,OZ5,VA9,1,799,514.87,71.92,2025,July,3,01-01-2025,31-12-2025,286042,5,106096.5,2
ZiVA84,09-10-2025,OZ3,VA8,5,12495,7374.33,1047.2,2025,October,4,01-01-2025,31-12-2025,652239,2,82367.24,9
ZiVA85,28-05-2025,OZ4,VA3,5,4995,3501.63,520.23,2025,May,2,01-01-2025,31-12-2025,271728,7,92016.54,7
